CODIGO_SINIESTRO,CODIGO_VEHICULO,CODIGO_PERSONA,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO_PERSONA,GRAVEDAD,LUGAR_ATENCION_LESIONADO,LUGAR_DE_DEFUNCION,SITUACION_DE_PERSONA,PAIS_DE_NACIONALIDAD,EDAD,SEXO,POSEE_LICENCIA,ESTADO_LICENCIA,CLASE_LICENCIA,SE_SOMETIO_A_DOSAJE_ETILICO_CUALITATIVO,RESULTADO_DEL_DOSAJE_ETILICO_CUALITATIVO,SE_SOMETIO_A_DOSAJE_ETILICO_CUANTITATIVO,VEHICULO,FECHA,ANIO,MES,DIA,HORA,CLASE_DE_SINIESTRO,CAUSA,CAUSA_ESPECIFICA,TIPO_DE_VIA,CODIGO_DE_CARRETERA,RED_VIAL
A-2021-02-171,V-2021-02-171-1,P-2021-02-171-1-3,CUSCO,LA CONVENCION,SANTA ANA,OCUPANTE,LESIONADO,,,IDENTIFICADO,PERÚ,47,MASCULINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,OTRO,08/02/2021,2021,FEBRERO,LUNES,15,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,CARRETERA DEPARTAMENTAL,CU-118,DEPARTAMENTAL
A-2021-02-17,V-2021-02-17-1,P-2021-02-17-1-2,LIMA,CAJATAMBO,MANAS,PEATÓN,FALLECIDO,,,IDENTIFICADO,PERÚ,48,MASCULINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,OTRO,05/02/2021,2021,FEBRERO,VIERNES,14,ATROPELLO,NO IDENTIFICA LA CAUSA,N/I,CARRETERA DEPARTAMENTAL,LM-112,DEPARTAMENTAL
A-2021-02-172,V-2021-02-172-1,P-2021-02-172-1-1,ICA,ICA,SANTIAGO,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,29,MASCULINO,SI,VIGENTE,A III B,,NO SE REALIZO,,REMOLCADOR-SEMIREMOLQUE,27/02/2021,2021,FEBRERO,SÁBADO,7,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,CARRETERA NACIONAL,PE-1S,NACIONAL
A-2021-02-176,V-2021-02-176-1,P-2021-02-176-1-1,ICA,PISCO,HUMAY,CONDUCTOR,FALLECIDO,,,IDENTIFICADO,PERÚ,32,MASCULINO,SE DESCONOCE,VIGENTE,A II A,,NO SE REALIZO,,AUTOMÓVIL,27/02/2021,2021,FEBRERO,SÁBADO,7,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO,CARRETERA NACIONAL,PE-28A,NACIONAL
A-2021-02-177,V-2021-02-177-3,P-2021-02-177-3-1,ICA,ICA,ICA,CONDUCTOR FUGADO,NO SE CONOCE,,,NO IDENTIFICADO,,NO INDICA,NO INDICA,SE DESCONOCE,FUGADO,FUGADO,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,27/02/2021,2021,FEBRERO,SÁBADO,4,VOLCADURA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,CARRETERA NACIONAL,PE-1S,NACIONAL
A-2021-02-192,V-2021-02-192-1,P-2021-02-192-1-2,LAMBAYEQUE,CHICLAYO,PIMENTEL,CONDUCTOR FUGADO,NO SE CONOCE,,,NO IDENTIFICADO,,NO INDICA,NO INDICA,SE DESCONOCE,FUGADO,FUGADO,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,17/02/2021,2021,FEBRERO,MIÉRCOLES,23,ATROPELLO FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,CARRETERA NACIONAL,PE-06,NACIONAL
A-2021-02-201,V-2021-02-201-1,P-2021-02-201-1-2,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,CONDUCTOR FUGADO,NO SE CONOCE,,,NO IDENTIFICADO,,NO INDICA,NO INDICA,SE DESCONOCE,FUGADO,FUGADO,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,19/02/2021,2021,FEBRERO,VIERNES,6,ATROPELLO FUGA,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN SENTIDO CONTRARIO,AVENIDA,NO CORRESPONDE,URBANO
A-2021-02-212,V-2021-02-212-1,P-2021-02-212-1-1,PUNO,PUNO,ACORA,CONDUCTOR FUGADO,NO SE CONOCE,,,NO IDENTIFICADO,PERÚ,NO INDICA,NO INDICA,SE DESCONOCE,FUGADO,FUGADO,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,20/02/2021,2021,FEBRERO,SÁBADO,21,ATROPELLO FUGA,NO IDENTIFICA LA CAUSA,N/I,CARRETERA NACIONAL,PE-3S,NACIONAL
A-2021-02-263,V-2021-02-263-1,P-2021-02-263-1-1,LIMA,LIMA,RIMAC,CONDUCTOR FUGADO,NO SE CONOCE,,,NO IDENTIFICADO,,NO INDICA,NO INDICA,SE DESCONOCE,FUGADO,FUGADO,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,18/02/2021,2021,FEBRERO,JUEVES,18,ATROPELLO FUGA,NO IDENTIFICA LA CAUSA,N/I,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-02-267,V-2021-02-267-1,P-2021-02-267-1-2,LIMA,LIMA,SANTA ANITA,PEATÓN,FALLECIDO,,EN EL CENTRO DE SALUD,NO IDENTIFICADO,,NO INDICA,MASCULINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,23/02/2021,2021,FEBRERO,MARTES,21,ATROPELLO FUGA,NO IDENTIFICA LA CAUSA,N/I,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-02-268,V-2021-02-268-1,P-2021-02-268-1-1,LIMA,LIMA,RIMAC,CONDUCTOR,ILESO,,,IDENTIFICADO,,34,MASCULINO,SE DESCONOCE,SIN LICENCIA,SIN LICENCIA,,NO SE REALIZO,,AUTOMÓVIL,24/02/2021,2021,FEBRERO,MIÉRCOLES,8,CHOQUE,NO IDENTIFICA LA CAUSA,N/I,AVENIDA,NO CORRESPONDE,URBANO
A-2021-02-268,V-2021-02-268-2,P-2021-02-268-2-1,LIMA,LIMA,RIMAC,CONDUCTOR,FALLECIDO,,EN EL CENTRO DE SALUD,NO IDENTIFICADO,,NO INDICA,MASCULINO,SE DESCONOCE,SIN DNI IDENTIFICADO,SIN DNI IDENTIFICADO,,NO SE REALIZO,,MOTOCICLETA,24/02/2021,2021,FEBRERO,MIÉRCOLES,8,CHOQUE,NO IDENTIFICA LA CAUSA,N/I,AVENIDA,NO CORRESPONDE,URBANO
A-2021-02-270,V-2021-02-270-1,P-2021-02-270-1-1,LIMA,LIMA,EL AGUSTINO,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,31,MASCULINO,SE DESCONOCE,VIGENTE,A III C,,NO SE REALIZO,,ÓMNIBUS,27/02/2021,2021,FEBRERO,SÁBADO,12,ATROPELLO,NO IDENTIFICA LA CAUSA,N/I,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-02-270,V-2021-02-270-1,P-2021-02-270-1-2,LIMA,LIMA,EL AGUSTINO,PEATÓN,FALLECIDO,,,NO IDENTIFICADO,PERÚ,NO INDICA,MASCULINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,ÓMNIBUS,27/02/2021,2021,FEBRERO,SÁBADO,12,ATROPELLO,NO IDENTIFICA LA CAUSA,N/I,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-02-277,V-2021-02-277-2,P-2021-02-277-2-1,HUANUCO,HUANUCO,CHINCHAO,CONDUCTOR FUGADO,NO SE CONOCE,,,NO IDENTIFICADO,,NO INDICA,NO INDICA,SE DESCONOCE,FUGADO,FUGADO,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,04/02/2021,2021,FEBRERO,JUEVES,14,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),CARRETERA NACIONAL,PE-18A,NACIONAL
A-2021-02-278,V-2021-02-278-1,P-2021-02-278-1-1,HUANUCO,HUANUCO,AMARILIS,CONDUCTOR FUGADO,NO SE CONOCE,,,NO IDENTIFICADO,PERÚ,NO INDICA,NO INDICA,SE DESCONOCE,FUGADO,FUGADO,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,19/02/2021,2021,FEBRERO,VIERNES,21,ATROPELLO FUGA,NO IDENTIFICA LA CAUSA,N/I,CARRETERA NACIONAL,PE-18A,NACIONAL
A-2021-02-28,V-2021-02-28-1,P-2021-02-28-1-1,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,CONDUCTOR,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,IDENTIFICADO,PERÚ,29,MASCULINO,NO,SIN LICENCIA,SIN LICENCIA,,NO SE REALIZO,,MOTOCICLETA,08/02/2021,2021,FEBRERO,LUNES,18,CHOQUE,N/I,N/I,CARRETERA NACIONAL,PE-30C,NACIONAL
A-2021-02-28,V-2021-02-28-2,P-2021-02-28-2-1,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,SIN CONDUCTOR,NO SE CONOCE,,,NO IDENTIFICADO,,NO INDICA,NO INDICA,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,REMOLCADOR,08/02/2021,2021,FEBRERO,LUNES,18,CHOQUE,N/I,N/I,CARRETERA NACIONAL,PE-30C,NACIONAL
A-2021-02-282,V-2021-02-282-1,P-2021-02-282-1-1,ANCASH,SANTA,NUEVO CHIMBOTE,CONDUCTOR FUGADO,NO SE CONOCE,,,NO IDENTIFICADO,,NO INDICA,NO INDICA,SE DESCONOCE,FUGADO,FUGADO,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,22/02/2021,2021,FEBRERO,LUNES,6,ATROPELLO FUGA,NO IDENTIFICA LA CAUSA,N/I,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-02-283,V-2021-02-283-1,P-2021-02-283-1-1,ANCASH,SANTA,SAMANCO,CONDUCTOR FUGADO,NO SE CONOCE,,,NO IDENTIFICADO,,NO INDICA,NO INDICA,SE DESCONOCE,FUGADO,FUGADO,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,23/02/2021,2021,FEBRERO,MARTES,20,ATROPELLO FUGA,NO IDENTIFICA LA CAUSA,N/I,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-02-283,V-2021-02-283-1,P-2021-02-283-1-2,ANCASH,SANTA,SAMANCO,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,NO IDENTIFICADO,PERÚ,NO INDICA,NO INDICA,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,VEHICULO NO IDENTIFICADO,23/02/2021,2021,FEBRERO,MARTES,20,ATROPELLO FUGA,NO IDENTIFICA LA CAUSA,N/I,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-02-32,V-2021-02-32-1,P-2021-02-32-1-1,TACNA,TACNA,SAMA,SIN CONDUCTOR,NO SE CONOCE,,,NO IDENTIFICADO,PERÚ,NO INDICA,NO INDICA,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,AUTOMÓVIL,03/02/2021,2021,FEBRERO,MIÉRCOLES,12,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,CARRETERA NACIONAL,PE-1SD,NACIONAL
A-2021-02-63,V-2021-02-63-1,P-2021-02-63-1-1,CUSCO,PARURO,HUANOQUITE,CONDUCTOR,LESIONADO,,,IDENTIFICADO,PERÚ,53,MASCULINO,SE DESCONOCE,VIGENTE,A II B,,NO SE REALIZO,,CAMIÓN,12/02/2021,2021,FEBRERO,VIERNES,2,VOLCADURA,NEGLIGENCIA DEL CONDUCTOR,N/I,CARRETERA DEPARTAMENTAL,CU-118,DEPARTAMENTAL
A-2021-02-63,V-2021-02-63-1,P-2021-02-63-1-10,CUSCO,PARURO,HUANOQUITE,OCUPANTE,LESIONADO,,,IDENTIFICADO,PERÚ,40,FEMENINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,CAMIÓN,12/02/2021,2021,FEBRERO,VIERNES,2,VOLCADURA,NEGLIGENCIA DEL CONDUCTOR,N/I,CARRETERA DEPARTAMENTAL,CU-118,DEPARTAMENTAL
A-2021-02-63,V-2021-02-63-1,P-2021-02-63-1-11,CUSCO,PARURO,HUANOQUITE,OCUPANTE,LESIONADO,,,IDENTIFICADO,PERÚ,40,FEMENINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,CAMIÓN,12/02/2021,2021,FEBRERO,VIERNES,2,VOLCADURA,NEGLIGENCIA DEL CONDUCTOR,N/I,CARRETERA DEPARTAMENTAL,CU-118,DEPARTAMENTAL
A-2021-02-63,V-2021-02-63-1,P-2021-02-63-1-12,CUSCO,PARURO,HUANOQUITE,OCUPANTE,LESIONADO,,,IDENTIFICADO,PERÚ,52,FEMENINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,CAMIÓN,12/02/2021,2021,FEBRERO,VIERNES,2,VOLCADURA,NEGLIGENCIA DEL CONDUCTOR,N/I,CARRETERA DEPARTAMENTAL,CU-118,DEPARTAMENTAL
A-2021-02-63,V-2021-02-63-1,P-2021-02-63-1-13,CUSCO,PARURO,HUANOQUITE,OCUPANTE,LESIONADO,,,IDENTIFICADO,PERÚ,61,FEMENINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,CAMIÓN,12/02/2021,2021,FEBRERO,VIERNES,2,VOLCADURA,NEGLIGENCIA DEL CONDUCTOR,N/I,CARRETERA DEPARTAMENTAL,CU-118,DEPARTAMENTAL
A-2021-02-63,V-2021-02-63-1,P-2021-02-63-1-14,CUSCO,PARURO,HUANOQUITE,OCUPANTE,LESIONADO,,,IDENTIFICADO,PERÚ,13,FEMENINO,SE DESCONOCE,NO CONDUCTOR,NO CONDUCTOR,,NO SE REALIZO,,CAMIÓN,12/02/2021,2021,FEBRERO,VIERNES,2,VOLCADURA,NEGLIGENCIA DEL CONDUCTOR,N/I,CARRETERA DEPARTAMENTAL,CU-118,DEPARTAMENTAL
