CODIGO_SINIESTRO,CODIGO_VEHICULO,DEPARTAMENTO,PROVINCIA,DISTRITO,SITUACION_VEHICULO,ESTADO_MODALIDAD,MODALIDAD_DE_TRANSPORTE,ELEMENTO_TRANSPORTADO,AMBITO_SERVICIO,POSEE_SEGURO,ESTADO_SOAT,TIPO_SEGURO,COMPANIA_SEGURO,POSEE_CITV,ESTADO_CITV,LUGAR_IMPACTO_VEHICULO,VEHICULO,TIPO_SINIESTRO,FECHA,ANO,MES,DIA,HORA,CODIGO_DE_CARRETERA,TIPO_DE_VIA
A-2021-01-140,V-2021-01-140-2,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,IDENTIFICADO,HABILITADO,PARTICULAR,,,,VIGENTE,,LA POSITIVA,,NO APLICA,,MOTOCICLETA,CHOQUE,11/01/2021,2021,ENERO,LUNES,10,PE-36A,CARRETERA
A-2021-01-141,V-2021-01-141-1,APURIMAC,ABANCAY,ABANCAY,IDENTIFICADO,HABILITADO,PARTICULAR,PERSONAS,NO SE CONOCE,,VIGENTE,,LA POSITIVA,,VIGENTE,,MOTOCICLETA,DESPISTE,17/01/2021,2021,ENERO,DOMINGO,16,AP-103,CARRETERA
A-2021-01-148,V-2021-01-148-1,PASCO,PASCO,NINACACA,IDENTIFICADO,HABILITADO,SERVICIO ESPECIAL DE PASAJEROS,,,,VIGENTE,,RIMAC,,VIGENTE,,STATION WAGON,CHOQUE,13/01/2021,2021,ENERO,MIÉRCOLES,19,PE-3N,CARRETERA
A-2021-01-148,V-2021-01-148-2,PASCO,PASCO,NINACACA,IDENTIFICADO,NO HABILITADO,OTRO,,,,VIGENTE,,OTROS,,VENCIDO,,CAMIONETA PICK UP,CHOQUE,13/01/2021,2021,ENERO,MIÉRCOLES,19,PE-3N,CARRETERA
A-2021-01-148,V-2021-01-148-3,PASCO,PASCO,NINACACA,IDENTIFICADO,HABILITADO,OTRO,,,,VIGENTE,,MAPFRE,,VIGENTE,,CAMIONETA PICK UP,CHOQUE,13/01/2021,2021,ENERO,MIÉRCOLES,19,PE-3N,CARRETERA
A-2021-01-149,V-2021-01-149-1,ICA,ICA,SALAS,IDENTIFICADO,HABILITADO,PARTICULAR,PERSONAS,NO SE CONOCE,,VIGENTE,,LA POSITIVA,,NO REGISTRA,FRONTAL-CENTRO,AUTOMÓVIL,DESPISTE,19/01/2021,2021,ENERO,MARTES,21,PE-1S,CARRETERA
A-2021-01-149,V-2021-01-149-2,ICA,ICA,SALAS,IDENTIFICADO,HABILITADO,CARGA,,,,NO REGISTRA,,,,VIGENTE,,REMOLCADOR,DESPISTE,19/01/2021,2021,ENERO,MARTES,21,PE-1S,CARRETERA
A-2021-01-152,V-2021-01-152-1,LA LIBERTAD,TRUJILLO,LA ESPERANZA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,NO REGISTRA,,,,NO APLICA,,TRIMOTO PASAJERO,CHOQUE,15/01/2021,2021,ENERO,VIERNES,8,NO CORRESPONDE,CALLE
A-2021-01-152,V-2021-01-152-2,LA LIBERTAD,TRUJILLO,LA ESPERANZA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,,NO APLICA,,NO APLICA,,NO APLICA,,BICICLETA,CHOQUE,15/01/2021,2021,ENERO,VIERNES,8,NO CORRESPONDE,CALLE
A-2021-01-153,V-2021-01-153-1,PUNO,SAN ROMAN,JULIACA,IDENTIFICADO,NO CORRESPONDE,TAXI,PERSONAS,NO SE CONOCE,,NO REGISTRA,,,,VIGENTE,POSTERIOR-DERECHA,AUTOMÓVIL,CHOQUE,08/01/2021,2021,ENERO,VIERNES,20,NO CORRESPONDE,AVENIDA
A-2021-01-153,V-2021-01-153-2,PUNO,SAN ROMAN,JULIACA,FUGADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,,NO REGISTRA,,,,NO REGISTRA,,MOTOCICLETA,CHOQUE,08/01/2021,2021,ENERO,VIERNES,20,NO CORRESPONDE,AVENIDA
A-2021-01-157,V-2021-01-157-1,JUNIN,HUANCAYO,CHILCA,IDENTIFICADO,HABILITADO,CARGA,,,,VIGENTE,,LA POSITIVA,,VIGENTE,,REMOLCADOR-SEMIREMOLQUE,ATROPELLO,21/01/2021,2021,ENERO,JUEVES,18,PE-3SC,CARRETERA
A-2021-01-161,V-2021-01-161-1,PIURA,MORROPON,BUENOS AIRES,IDENTIFICADO,NO CORRESPONDE,CARGA,PERSONAS,NO SE CONOCE,,NO REGISTRA,,,,NO REGISTRA,,TRIMOTO CARGA,DESPISTE,21/01/2021,2021,ENERO,JUEVES,14,PE-02A,CARRETERA
A-2021-01-169,V-2021-01-169-1,CUSCO,PAUCARTAMBO,PAUCARTAMBO,IDENTIFICADO,HABILITADO,PARTICULAR,,,,VIGENTE,,RIMAC,,VIGENTE,,CAMIÓN,ESPECIAL,04/01/2021,2021,ENERO,LUNES,15,SIN CLASIFICAR,CARRETERA
A-2021-01-169,V-2021-01-169-2,CUSCO,PAUCARTAMBO,PAUCARTAMBO,IDENTIFICADO,NO HABILITADO,PARTICULAR,,,,NO REGISTRA,,,,NO REGISTRA,,MOTOCICLETA,ESPECIAL,04/01/2021,2021,ENERO,LUNES,15,SIN CLASIFICAR,CARRETERA
A-2021-01-170,V-2021-01-170-1,AREQUIPA,AREQUIPA,CERRO COLORADO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,,OTROS,,VIGENTE,,AUTOMÓVIL,CHOQUE,22/01/2021,2021,ENERO,VIERNES,21,PE-34A,CARRETERA
A-2021-01-170,V-2021-01-170-2,AREQUIPA,AREQUIPA,CERRO COLORADO,IDENTIFICADO,HABILITADO,CARGA,,,,VIGENTE,,LA POSITIVA,,VIGENTE,,REMOLCADOR-SEMIREMOLQUE,CHOQUE,22/01/2021,2021,ENERO,VIERNES,21,PE-34A,CARRETERA
A-2021-01-17,V-2021-01-17-1,LIMA,HUAURA,PACCHO,IDENTIFICADO,HABILITADO,PARTICULAR,PERSONAS,NO SE CONOCE,,VIGENTE,,PACIFICO,,NO APLICA,FRONTAL-IZQUIERDA,AUTOMÓVIL,DESPISTE,03/01/2021,2021,ENERO,DOMINGO,16,PE-18,CARRETERA
A-2021-01-176,V-2021-01-176-1,AREQUIPA,AREQUIPA,CERRO COLORADO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,,LA POSITIVA,,VIGENTE,,CAMIONETA PICK UP,DESPISTE,23/01/2021,2021,ENERO,SÁBADO,20,PE-34A,CARRETERA
A-2021-01-177,V-2021-01-177-1,ICA,ICA,SANTIAGO,IDENTIFICADO,HABILITADO,PARTICULAR,,,,NO REGISTRA,,,,NO REGISTRA,,CAMIONETA PICK UP,DESPISTE,21/01/2021,2021,ENERO,JUEVES,16,PE-1S,CARRETERA
A-2021-01-186,V-2021-01-186-1,AREQUIPA,AREQUIPA,PAUCARPATA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,,VIGENTE,,LA POSITIVA,,NO APLICA,,MOTOCICLETA,ATROPELLO FUGA,24/01/2021,2021,ENERO,DOMINGO,19,NO CORRESPONDE,AVENIDA
A-2021-01-187,V-2021-01-187-1,CUSCO,LA CONVENCION,QUELLOUNO,IDENTIFICADO,HABILITADO,PARTICULAR,PERSONAS,NO SE CONOCE,,VIGENTE,,LA POSITIVA,,NO APLICA,,MOTOCICLETA,DESPISTE,07/01/2021,2021,ENERO,JUEVES,12,CU-693,CARRETERA
A-2021-01-188,V-2021-01-188-1,CUSCO,CHUMBIVILCAS,COLQUEMARCA,IDENTIFICADO,HABILITADO,CARGA,CARGA Y/O MERCANCÍAS,NO SE CONOCE,,VIGENTE,,LA POSITIVA,,VIGENTE,FRONTAL-IZQUIERDA,CAMIÓN,CHOQUE,09/01/2021,2021,ENERO,SÁBADO,8,CU-1542,CARRETERA
A-2021-01-188,V-2021-01-188-2,CUSCO,CHUMBIVILCAS,COLQUEMARCA,IDENTIFICADO,HABILITADO,PARTICULAR,PERSONAS,NO SE CONOCE,,NO REGISTRA,,,,NO APLICA,,MOTOCICLETA,CHOQUE,09/01/2021,2021,ENERO,SÁBADO,8,CU-1542,CARRETERA
A-2021-01-193,V-2021-01-193-1,SAN MARTIN,PICOTA,PICOTA,IDENTIFICADO,NO CORRESPONDE,PUBLICO URBANO,,,,VIGENTE,,LA POSITIVA,,VIGENTE,,AUTOMÓVIL,CHOQUE,24/01/2021,2021,ENERO,DOMINGO,8,PE-5N,CARRETERA
A-2021-01-193,V-2021-01-193-2,SAN MARTIN,PICOTA,PICOTA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,,MAPFRE,,VIGENTE,,AUTOMÓVIL,CHOQUE,24/01/2021,2021,ENERO,DOMINGO,8,PE-5N,CARRETERA
A-2021-01-195,V-2021-01-195-1,CALLAO,CALLAO,VENTANILLA,IDENTIFICADO,HABILITADO,OTRO,,,,VIGENTE,,RIMAC,,VIGENTE,,ÓMNIBUS,DESPISTE,24/01/2021,2021,ENERO,DOMINGO,20,PE-20,CARRETERA
A-2021-01-195,V-2021-01-195-2,CALLAO,CALLAO,VENTANILLA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,NO APLICA,,NO APLICA,,NO APLICA,,BICICLETA,DESPISTE,24/01/2021,2021,ENERO,DOMINGO,20,PE-20,CARRETERA
A-2021-01-196,V-2021-01-196-1,CUSCO,PAUCARTAMBO,PAUCARTAMBO,IDENTIFICADO,HABILITADO,PARTICULAR,,,,VIGENTE,,LA POSITIVA,,NO REGISTRA,,AUTOMÓVIL,DESPISTE,17/01/2021,2021,ENERO,DOMINGO,11,CU-113,CARRETERA
A-2021-01-197,V-2021-01-197-1,CUSCO,LA CONVENCION,OCOBAMBA,IDENTIFICADO,HABILITADO,PARTICULAR,,,,VENCIDO,,LA POSITIVA,,NO REGISTRA,,STATION WAGON,DESPISTE,15/01/2021,2021,ENERO,VIERNES,6,CU-106,CARRETERA
A-2021-01-198,V-2021-01-198-1,CUSCO,CANCHIS,MARANGANI,FUGADO,NO CORRESPONDE,NO CORRESPONDE,,,NO CORRESPONDE,NO APLICA,,,NO CORRESPONDE,NO APLICA,,VEHICULO NO IDENTIFICADO,ATROPELLO FUGA,23/01/2021,2021,ENERO,SÁBADO,23,CU-1421,CARRETERA
A-2021-01-199,V-2021-01-199-1,ICA,ICA,SANTIAGO,IDENTIFICADO,HABILITADO,PARTICULAR,PERSONAS,NO SE CONOCE,,NO REGISTRA,,,,NO APLICA,,MOTOCICLETA,CHOQUE,24/01/2021,2021,ENERO,DOMINGO,2,PE-1S,CARRETERA
A-2021-01-199,V-2021-01-199-2,ICA,ICA,SANTIAGO,IDENTIFICADO,HABILITADO,REGULAR(INTERPROVINCIAL),PERSONAS,PROVINCIAL,,VIGENTE,,MAPFRE,,VIGENTE,FRONTAL-DERECHA,ÓMNIBUS,CHOQUE,24/01/2021,2021,ENERO,DOMINGO,2,PE-1S,CARRETERA
A-2021-01-203,V-2021-01-203-1,UCAYALI,CORONEL PORTILLO,CALLERIA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,,LA POSITIVA,,NO REGISTRA,,MOTOCICLETA,CHOQUE,24/01/2021,2021,ENERO,DOMINGO,22,NO CORRESPONDE,AVENIDA
A-2021-01-203,V-2021-01-203-2,UCAYALI,CORONEL PORTILLO,CALLERIA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,NO REGISTRA,,,,NO REGISTRA,,MOTOCICLETA,CHOQUE,24/01/2021,2021,ENERO,DOMINGO,22,NO CORRESPONDE,AVENIDA
A-2021-01-205,V-2021-01-205-1,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,,LA POSITIVA,,NO APLICA,,MOTOCICLETA,CHOQUE,23/01/2021,2021,ENERO,SÁBADO,2,NO CORRESPONDE,AVENIDA
A-2021-01-205,V-2021-01-205-2,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,,LA POSITIVA,,NO APLICA,,MOTOCICLETA,CHOQUE,23/01/2021,2021,ENERO,SÁBADO,2,NO CORRESPONDE,AVENIDA
A-2021-01-207,V-2021-01-207-1,PUNO,CHUCUITO,DESAGUADERO,IDENTIFICADO,HABILITADO,CARGA,,,,VIGENTE,,OTROS,,VIGENTE,,REMOLCADOR,ESPECIAL,26/01/2021,2021,ENERO,MARTES,18,PE-36A,CARRETERA
A-2021-01-207,V-2021-01-207-2,PUNO,CHUCUITO,DESAGUADERO,IDENTIFICADO,HABILITADO,PARTICULAR,PERSONAS,NO SE CONOCE,,NO REGISTRA,,,,NO REGISTRA,,MOTOCICLETA,ESPECIAL,26/01/2021,2021,ENERO,MARTES,18,PE-36A,CARRETERA
A-2021-01-209,V-2021-01-209-1,LA LIBERTAD,TRUJILLO,LAREDO,IDENTIFICADO,HABILITADO,CARGA,,,,VIGENTE,,PACIFICO,,VIGENTE,,CAMIÓN,CAÍDA DE PASAJERO,14/01/2021,2021,ENERO,JUEVES,17,PE-10A,CARRETERA
A-2021-01-210,V-2021-01-210-1,LA LIBERTAD,TRUJILLO,TRUJILLO,IDENTIFICADO,HABILITADO,REGULAR(INTERPROVINCIAL),,,,VENCIDO,,MAPFRE,,VIGENTE,,ÓMNIBUS,ATROPELLO,16/01/2021,2021,ENERO,SÁBADO,19,NO CORRESPONDE,AVENIDA
A-2021-01-21,V-2021-01-21-1,PIURA,PIURA,PIURA,IDENTIFICADO,HABILITADO,CARGA,CARGA Y/O MERCANCÍAS,PROVINCIAL,,VIGENTE,,LA POSITIVA,,NO REGISTRA,FRONTAL-DERECHA,CAMIÓN,CHOQUE,02/01/2021,2021,ENERO,SÁBADO,8,NO CORRESPONDE,OTRO
A-2021-01-21,V-2021-01-21-2,PIURA,PIURA,PIURA,IDENTIFICADO,NO HABILITADO,PARTICULAR,PERSONAS,NO SE CONOCE,,NO REGISTRA,,,,NO REGISTRA,,MOTOCICLETA,CHOQUE,02/01/2021,2021,ENERO,SÁBADO,8,NO CORRESPONDE,OTRO
A-2021-01-214,V-2021-01-214-1,PUNO,PUNO,PUNO,IDENTIFICADO,HABILITADO,PARTICULAR,,,,NO REGISTRA,,,,NO REGISTRA,,MOTOCICLETA,ATROPELLO,26/01/2021,2021,ENERO,MARTES,19,PE-3S,CARRETERA
A-2021-01-216,V-2021-01-216-1,LA LIBERTAD,PATAZ,PATAZ,IDENTIFICADO,NO HABILITADO,CARGA,,,,VENCIDO,,LA POSITIVA,,VENCIDO,,CAMIÓN,DESPISTE,11/01/2021,2021,ENERO,LUNES,20,LI-124,CARRETERA
A-2021-01-217,V-2021-01-217-1,CUSCO,QUISPICANCHI,CCATCA,IDENTIFICADO,NO HABILITADO,PARTICULAR,PERSONAS,NO SE CONOCE,,VIGENTE,,MAPFRE,,VIGENTE,FRONTAL-CENTRO,AUTOMÓVIL,CHOQUE,18/01/2021,2021,ENERO,LUNES,8,PE-30C,CARRETERA
A-2021-01-217,V-2021-01-217-2,CUSCO,QUISPICANCHI,CCATCA,IDENTIFICADO,NO HABILITADO,PARTICULAR,PERSONAS,NO SE CONOCE,,VIGENTE,,MAPFRE,,VIGENTE,FRONTAL-CENTRO,AUTOMÓVIL,CHOQUE,18/01/2021,2021,ENERO,LUNES,8,PE-30C,CARRETERA
A-2021-01-218,V-2021-01-218-1,CUSCO,URUBAMBA,OLLANTAYTAMBO,IDENTIFICADO,HABILITADO,PARTICULAR,,,,VIGENTE,,MAPFRE,,VIGENTE,,STATION WAGON,ATROPELLO,23/01/2021,2021,ENERO,SÁBADO,19,PE-28B,CARRETERA
A-2021-01-22,V-2021-01-22-1,SAN MARTIN,RIOJA,RIOJA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,,VENCIDO,,,,VENCIDO,,MOTOCICLETA,CHOQUE,01/01/2021,2021,ENERO,VIERNES,17,NO CORRESPONDE,JIRÓN
A-2021-01-22,V-2021-01-22-2,SAN MARTIN,RIOJA,RIOJA,IDENTIFICADO,HABILITADO,PARTICULAR,,,,NO REGISTRA,,,,NO REGISTRA,,MOTOCICLETA,CHOQUE,01/01/2021,2021,ENERO,VIERNES,17,NO CORRESPONDE,JIRÓN
A-2021-01-225,V-2021-01-225-1,LA LIBERTAD,CHEPEN,PACANGA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,NO REGISTRA,,,,NO APLICA,,MOTOCICLETA,CHOQUE,17/01/2021,2021,ENERO,DOMINGO,20,PE-1N,CARRETERA
A-2021-01-225,V-2021-01-225-2,LA LIBERTAD,CHEPEN,PACANGA,IDENTIFICADO,NO CORRESPONDE,SERVICIO ESPECIAL DE PASAJEROS,,,,NO REGISTRA,,,,NO APLICA,,TRIMOTO PASAJERO,CHOQUE,17/01/2021,2021,ENERO,DOMINGO,20,PE-1N,CARRETERA
A-2021-01-226,V-2021-01-226-1,PUNO,AZANGARO,AZANGARO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,,VIGENTE,,LA POSITIVA,,VIGENTE,FRONTAL-DERECHA,CAMIONETA PICK UP,CHOQUE,02/01/2021,2021,ENERO,SÁBADO,13,PE-34B,CARRETERA
A-2021-01-226,V-2021-01-226-2,PUNO,AZANGARO,AZANGARO,ESTACIONADO,NO CORRESPONDE,PARTICULAR,,,,NO APLICA,,NO APLICA,,NO APLICA,,BICICLETA,CHOQUE,02/01/2021,2021,ENERO,SÁBADO,13,PE-34B,CARRETERA
A-2021-01-229,V-2021-01-229-1,TACNA,TACNA,TACNA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,,MAPFRE,,VIGENTE,,AUTOMÓVIL,ATROPELLO,27/01/2021,2021,ENERO,MIÉRCOLES,7,PE-40,CARRETERA
A-2021-01-23,V-2021-01-23-1,LIMA,HUARAL,HUARAL,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,,VIGENTE,,,,VENCIDO,CENTRO-IZQUIERDA,CAMIONETA RURAL,DESPISTE,01/01/2021,2021,ENERO,VIERNES,4,LM-671,CARRETERA
A-2021-01-231,V-2021-01-231-1,PUNO,HUANCANE,TARACO,IDENTIFICADO,NO HABILITADO,PUBLICO URBANO,,,,VIGENTE,,OTROS,,VIGENTE,,CAMIONETA RURAL,ATROPELLO,06/01/2021,2021,ENERO,MIÉRCOLES,6,PE-34H,CARRETERA
A-2021-01-232,V-2021-01-232-1,PUNO,SAN ROMAN,CABANA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,NO REGISTRA,,,,NO REGISTRA,,MOTOCICLETA,DESPISTE,11/01/2021,2021,ENERO,LUNES,13,PE-34A,CARRETERA
A-2021-01-234,V-2021-01-234-1,ICA,ICA,YAUCA DEL ROSARIO,IDENTIFICADO,HABILITADO,TRABAJADORES,,,,NO REGISTRA,,,,VIGENTE,,CAMIONETA RURAL,CHOQUE,25/01/2021,2021,ENERO,LUNES,4,IC-107,CARRETERA
A-2021-01-234,V-2021-01-234-2,ICA,ICA,YAUCA DEL ROSARIO,IDENTIFICADO,HABILITADO,PARTICULAR,,,,NO REGISTRA,,,,NO APLICA,,MOTOCICLETA,CHOQUE,25/01/2021,2021,ENERO,LUNES,4,IC-107,CARRETERA
A-2021-01-236,V-2021-01-236-1,PUNO,SANDIA,PATAMBUCO,IDENTIFICADO,NO HABILITADO,PARTICULAR,,,,NO REGISTRA,,,,NO REGISTRA,,MOTOCICLETA,DESPISTE,13/01/2021,2021,ENERO,MIÉRCOLES,10,SIN CLASIFICAR,CARRETERA
A-2021-01-237,V-2021-01-237-1,LAMBAYEQUE,CHICLAYO,PIMENTEL,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,,,,VIGENTE,,OTROS,,NO REGISTRA,,MOTOCICLETA,DESPISTE,27/01/2021,2021,ENERO,MIÉRCOLES,16,PE-1N,CARRETERA
