CÓDIGO SINIESTRO,FECHA SINIESTRO,HORA SINIESTRO,CLASE SINIESTRO,CANTIDAD DE FALLECIDOS,CANTIDAD DE LESIONADOS,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO DE VÍA,RED VIAL,COD CARRETERA,EXISTE CICLOVÍA,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 1,CLASIFICACIÓN DE LA SEÑAL VERTICAL Nº 2,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,CAUSA ESPECÍFICA
A-2023-01-27,01/01/2023,10:10,CHOQUE,1,0,2,LA LIBERTAD,PACASMAYO,PACASMAYO,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-7.392707921590365,-79.55616788912027,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-01-131,01/01/2023,10:50,CHOQUE,1,1,,LIMA,LIMA,CHORRILLOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.18744311,-76.995348,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2023-01-28,01/01/2023,13:00,CHOQUE FUGA,1,0,1,LA LIBERTAD,TRUJILLO,HUANCHACO,URBANA,CARRETERA,NACIONAL,PE-1N,NO,-8.086548612579318,-79.09628712208378,DESPEJADO,INDUSTRIAL,ÓVALO,INCLINADA,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-01-32,01/01/2023,14:50,ATROPELLO,1,0,1,CUSCO,ANTA,ANTA,RURAL,CARRETERA,NACIONAL,PE-3S,NO,-13.485952609764276,-72.16745477434834,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2023-01-7,01/01/2023,18:30,DESPISTE,1,1,1,PUNO,CHUCUITO,DESAGUADERO,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,NO,-16.640263,-69.105227,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2023-01-9,01/01/2023,19:00,ATROPELLO FUGA,1,0,,PUNO,YUNGUYO,YUNGUYO,URBANA,CALLE,URBANO,NO CORRESPONDE,NO,-16.30571841773991,-69.07482239581564,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2023-01-8,01/01/2023,19:35,DESPISTE,1,0,1,PUNO,YUNGUYO,YUNGUYO,RURAL,CARRETERA,DEPARTAMENTAL,PU-130,NO,-16.28830931265595,-69.0744135791099,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2023-01-6,01/01/2023,22:09,CHOQUE,1,3,2,PUNO,PUNO,PAUCARCOLLA,RURAL,CARRETERA,NACIONAL,PE-3S,NO,-15.755179,-70.051617,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2023-01-120,01/01/2023,22:58,CHOQUE,1,0,2,ANCASH,SANTA,COISHCO,URBANA,CARRETERA,NACIONAL,PE-1N,NO,-9.019175,-78.616854,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,CONCRETO,,,,,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL
A-2021-02-248,01/02/2021,04:47,CHOQUE,1,0,,LIMA,LIMA,SAN ISIDRO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-12.09219,-77.032178,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,NEGLIGENCIA DEL CONDUCTOR,CONDUCIR CON FALLAS DE DIRECCIÓN
A-2021-02-251,01/02/2021,07:10,CHOQUE,1,0,,LIMA,LIMA,COMAS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-11.937625632516268,-77.07126170396806,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-02-102,01/02/2021,15:45,DESPISTE,1,1,1,PUNO,SANDIA,SANDIA,RURAL,CARRETERA,NACIONAL,PE-34H,NO,-14.365523022552427,-69.48053229031025,NUBLADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-02-163,01/02/2021,18:30,DESPISTE,1,3,1,CUSCO,PAUCARTAMBO,CAICAY,RURAL,CARRETERA,VECINAL,CU-1364,NO,-13.5972,-71.6969,LLUVIOSO,RURAL,CURVA,INCLINADA,AFIRMADO,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-02-21,01/02/2021,19:40,ATROPELLO FUGA,1,0,0,AREQUIPA,CONDESUYOS,RIO GRANDE,RURAL,CARRETERA,VECINAL,AR-535,NO,-15.928147453816774,-73.13040730041367,DESPEJADO,RURAL,SINUOSA,INCLINADA,TROCHA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-02-6,01/02/2021,20:40,CHOQUE,2,5,2,PIURA,PIURA,CATACAOS,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-5.260848,-80.613699,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,SI,REGULADORA (R),PREVENTIVA (P),NO,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2022-02-10,01/02/2022,10:00,DESPISTE,1,1,1,TUMBES,CONTRALMIRANTE VILLAR,CANOAS DE PUNTA SAL,URBANA,CALLE,URBANO,NO CORRESPONDE,NO,-3.949371050705741,-80.94310785772831,DESPEJADO,RESIDENCIAL,CURVA,INCLINADA,CONCRETO,,,,,IMPERICIA DEL CONDUCTOR,
A-2022-02-25,01/02/2022,14:00,DESPISTE,1,0,1,CAJAMARCA,CUTERVO,QUEROCOTILLO,RURAL,CARRETERA,VECINAL,CA-824,NO,-6.14191256,-79.01309076,DESPEJADO,RESIDENCIAL,CURVA,INCLINADA,AFIRMADO,,,,,NO IDENTIFICA LA CAUSA,
A-2022-02-276,01/02/2022,20:30,ATROPELLO,1,0,,JUNIN,TARMA,PALCA,RURAL,CARRETERA,NACIONAL,PE-22B,,-11.351937043927538,-75.59772310644954,,,,,,,,,,,
A-2022-02-89,01/02/2022,20:30,CHOQUE,3,0,2,LAMBAYEQUE,LAMBAYEQUE,OLMOS,RURAL,CARRETERA,NACIONAL,PE-1NJ,NO,-5.9782319482377355,-79.74728283782693,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-02-70,01/02/2023,05:50,ATROPELLO,1,0,,ICA,CHINCHA,EL CARMEN,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-13.5579380555032,-76.1335799269249,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-02-1,01/02/2023,06:00,ATROPELLO FUGA,1,0,,TUMBES,TUMBES,CORRALES,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-3.608802608870834,-80.50536626830808,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,NO DAR PASO PREFERENTE AL PEATÓN
A-2021-03-100,01/03/2021,05:28,ATROPELLO,1,0,1,LIMA,HUARAL,CHANCAY,URBANA,CARRETERA,NACIONAL,PE-1N,NO,-11.537778465484521,-77.2829764573073,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA
A-2021-03-69,01/03/2021,08:00,CAÍDA DE PASAJERO,1,0,0,LIMA,LIMA,INDEPENDENCIA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-11.9969,-77.0544,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-03-1,01/03/2021,08:50,ATROPELLO,1,0,1,PUNO,YUNGUYO,YUNGUYO,RURAL,CARRETERA,DEPARTAMENTAL,PU-130,NO,-16.30911252,-69.06047903,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-03-6,01/03/2021,15:00,DESPISTE,1,0,1,JUNIN,TARMA,SAN PEDRO DE CAJAS,RURAL,CARRETERA,VECINAL,JU-548,NO,-11.163581884219079,-75.8564661443685,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,TROCHA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-03-93,01/03/2021,19:30,CHOQUE,1,0,2,SAN MARTIN,LAMAS,BARRANQUITA,RURAL,CARRETERA,DEPARTAMENTAL,SM-105,NO,-6.21662,-75.99639,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2022-03-189,01/03/2022,07:20,VOLCADURA,1,0,2,LIMA,LIMA,PUENTE PIEDRA,RURAL,AVENIDA,URBANO,NO CORRESPONDE,NO,-11.845251,-77.077429,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-03-146,01/03/2022,12:00,DESPISTE,1,4,,AYACUCHO,HUAMANGA,CARMEN ALTO,URBANA,CARRETERA,NACIONAL,PE-3S,NO,-13.233523,-74.23572,NIEBLA,RURAL,TRAMO RECTO,PLANA ,AFIRMADO,,,,,IMPRUDENCIA DEL CONDUCTOR,FATIGA Y/O CANSANCIO
A-2022-03-142,01/03/2022,20:00,VOLCADURA,1,0,1,CUSCO,CANAS,YANAOCA,RURAL,CARRETERA,DEPARTAMENTAL,CU-126,NO,-14.276032,-71.450367,NUBLADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPERICIA DEL CONDUCTOR,
A-2023-03-1,01/03/2023,01:00,DESPISTE,1,0,1,PUNO,PUNO,ATUNCOLLA,RURAL,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,NO,-15.685763,-70.128152,DESPEJADO,RURAL,CURVA,INCLINADA,TROCHA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2023-03-67,01/03/2023,01:00,ATROPELLO FUGA,1,0,,TUMBES,ZARUMILLA,PAPAYAL,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-3.513917994766684,-80.31783696205841,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,NO DAR PASO PREFERENTE AL PEATÓN
A-2023-03-128,01/03/2023,05:00,CHOQUE,2,1,,JUNIN,YAULI,PACCHA,RURAL,CARRETERA,NACIONAL,PE-3N,NO,-11.431631,-75.931629,NUBLADO,RURAL,CURVA,PLANA ,ASFALTADA,SI,PREVENTIVA (P),REGULADORA (R),SI,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL
A-2023-03-131,01/03/2023,05:30,CHOQUE,1,0,,LIMA,LIMA,LURIGANCHO,RURAL,CARRETERA,VECINAL,LM-711,NO,-11.9982629,-76.92719986,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-03-92,01/03/2023,07:20,CHOQUE,1,2,1,PUNO,SAN ROMAN,CABANILLAS,RURAL,CARRETERA,NACIONAL,PE-34A,NO,-15.672656616209402,-70.37792971503441,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2023-03-59,01/03/2023,09:06,CHOQUE,1,0,2,CUSCO,ESPINAR,ESPINAR,URBANA,CARRETERA,DEPARTAMENTAL,CU-131,NO,-14.792305,-71.411903,DESPEJADO,INDUSTRIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2023-03-3,01/03/2023,17:10,ATROPELLO,1,1,1,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,URBANA,CARRETERA,NACIONAL,PE-1N,NO,-7.441096,-79.502069,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2023-03-2,01/03/2023,19:45,ATROPELLO,1,0,1,AREQUIPA,AREQUIPA,LA JOYA,URBANA,CARRETERA,NACIONAL,PE-1S,NO,-16.526249,-71.7853308,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),,SI,NO IDENTIFICA LA CAUSA,
A-2021-04-9,01/04/2021,03:05,ATROPELLO FUGA,1,0,2,LA LIBERTAD,ASCOPE,CHICAMA,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-7.839252,-79.152646,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-04-319,01/04/2021,04:00,CHOQUE,2,0,,ANCASH,SANTA,NUEVO CHIMBOTE,URBANA,CARRETERA,NACIONAL,PE-1N,NO,-9.15999212082273,-78.49698374553051,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2021-04-3,01/04/2021,07:00,CHOQUE,1,2,2,LORETO,MAYNAS,PUNCHANA,URBANA,CALLE,URBANO,NO CORRESPONDE,NO,-3.727735,-73.247409,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-04-38,01/04/2021,08:00,DESPISTE,1,0,1,JUNIN,TARMA,TAPO,RURAL,CARRETERA,VECINAL,JU-614,NO,-11.441708317287668,-75.53182458966285,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,,
A-2021-04-61,01/04/2021,08:20,ESPECIAL,1,0,1,AYACUCHO,HUAMANGA,AYACUCHO,URBANA,CARRETERA,NACIONAL,PE-28A,NO,-13.16257,-74.2396644,DESPEJADO,ESCOLAR,CURVA,PLANA ,ASFALTADA,,,,,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR)
A-2021-04-182,01/04/2021,09:20,ATROPELLO,1,0,1,PUNO,EL COLLAO,PILCUYO,RURAL,CARRETERA,NACIONAL,PE-3S,NO,-16.094171,-69.544627,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA
A-2021-04-6,01/04/2021,21:40,DESPISTE,2,5,1,CALLAO,CALLAO,VENTANILLA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-11.918688730717221,-77.1287114439881,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,CONCRETO,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-04-14,01/04/2021,22:00,DESPISTE,1,3,1,CAJAMARCA,HUALGAYOC,BAMBAMARCA,RURAL,CARRETERA,VECINAL,CA-970,NO,-6.69908934,-78.4326443,LLUVIOSO,RURAL,TRAMO RECTO,INCLINADA,AFIRMADO,,,,,NO IDENTIFICA LA CAUSA,
A-2022-04-1,01/04/2022,02:00,DESPISTE,1,1,1,AREQUIPA,AREQUIPA,YURA,RURAL,CARRETERA,DEPARTAMENTAL,AR-123,NO,-16.370588,-71.64909,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,,,SI,NO IDENTIFICA LA CAUSA,
A-2022-04-18,01/04/2022,04:00,DESPISTE,1,0,1,ICA,ICA,LA TINGUIÑA,URBANA,CARRETERA,VECINAL,IC-651,NO,-14.037686,-75.699417,DESPEJADO,RESIDENCIAL,CURVA,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-04-185,01/04/2022,09:30,CHOQUE,1,1,2,PASCO,PASCO,YANACANCHA,URBANA,CARRETERA,NACIONAL,PE-3N,NO,-10.631896218235811,-76.17575646148282,LLUVIOSO,RURAL,CURVA,INCLINADA,ASFALTADA,SI,REGULADORA (R),,SI,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN SENTIDO CONTRARIO
A-2022-04-219,01/04/2022,15:10,VOLCADURA,1,1,2,HUANUCO,HUANUCO,CHINCHAO,RURAL,CARRETERA,NACIONAL,PE-18A,NO,-9.627556,-76.064694,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2022-04-92,01/04/2022,17:00,CHOQUE,2,0,2,LAMBAYEQUE,CHICLAYO,LA VICTORIA,RURAL,CARRETERA,NACIONAL,PE-1N,NO,-6.831415,-79.829203,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
A-2022-04-214,01/04/2022,19:00,ATROPELLO FUGA,1,0,,LIMA,LIMA,COMAS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,,-11.930407997259525,-77.05307362840098,,,,,,,,,,,
A-2022-04-135,01/04/2022,21:00,DESPISTE,1,0,1,CUSCO,ESPINAR,PICHIGUA,RURAL,CARRETERA,NACIONAL,PE-34F,NO,-14.702299,-71.29476,DESPEJADO,RURAL,CURVA,PLANA ,ASFALTADA,SI,REGULADORA (R),REGULADORA (R),SI,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2022-04-68,01/04/2022,21:00,ATROPELLO,1,0,,ICA,ICA,SALAS,URBANA,CALLE,URBANO,NO CORRESPONDE,NO,-13.929423,-75.920361,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,TROCHA,,,,,NO IDENTIFICA LA CAUSA,
A-2023-04-1,01/04/2023,16:30,CHOQUE,1,0,,ANCASH,RECUAY,CATAC,URBANA,CARRETERA,DEPARTAMENTAL,AN-110,NO,-9.802512580358075,-77.43088802901988,NUBLADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),,SI,NO IDENTIFICA LA CAUSA,
A-2023-04-13,01/04/2023,16:30,CHOQUE,1,0,2,ICA,ICA,ICA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,NO,-14.0663842,-75.735408,DESPEJADO,ESCOLAR,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,NO IDENTIFICA LA CAUSA,
